mutual,tweet1,type1,tweet2,type2,tweet3,type3,tweet4,type4,tweet5,type5,tweet6,type6,tweet7,type7,tweet8,type8,tweet9,type9,tweet10,type10,rated,p1,c1,p2,c2,p3,c3,p4,c4,p5,c5
seanjwagner,@MayorJenny Durkan is horrible and should have never been elected in the first place. Shame on all who voted for her.,reply,"do you guys wanna tell this gun-nut, anti-government, annoying dude we went to high school with that literally no one agrees that, ""donald trump isn't racist because he hired a bunch of mexicans to build his real estate empire,"" or should I? nah, why bother.",tweet,"I just cited a really thorough article chronically Trump's history of bigotry when someone on Facebook asked for ""proof that he's a racist,"" and they responded: ""I see a lot of text. Is there actual evidence anywhere?"" That pretty much says it all right there, folks.",tweet,"Twitter is the worst, most toxic and uneducated platform you could be using to get your political news. This is the platform ""POTUS"" uses to address the country whenever he's bored. Which is, a couple times an hour apparently. Seems like he should have more important shit to do?",tweet,if Trump loses there will be acts of violence. that blood will be on his hands.,tweet,"People are trying to figure out what to call Madame Vice President-Elect Kamala Harris' husband. I suggest, Mr. Kamala Harris.",tweet,"don't think I haven't noticed how much ""Mr. Trump"" I hear on NPR now as opposed to ""President."" and I respect the fuck out of it.",tweet,"I want to dry heave at the quote from our PRESIDENT that states: ""Nobody has been better at the military."" Hopefully we all learn to vote before he learns to speak.",tweet,Trump giving his speech at the 2018 turkey pardon did NOT age well and I'm living for it.,tweet,EYES ON SEATTLE RIGHT NOW. DO NOT IGNORE THIS. THIS MESSAGE IS AIMED AT OUR ELECTED OFFICIALS AND THE PEOPLE WHO SERVE BENEATH THEM. YOU ARE NOT DOING YOUR JOBS.,tweet,0,,,,,,,,,,
sengendojoseph,"BREAKING: Every single Republican in the Senate just voted against so much as having a discussion about the For the People Act, which seeks to protect our most fundamental right to vote.",retweet,Enough of this bullshit hand wringing. President Biden is dealing with a pandemic where moronic Trump supporters refuse to get vaccinated. And an evacuation of 20 year long failed war. Yet his approval rtg. is still at 50%. The Lying Sociopath was below 50 his entire presidency.,retweet,"""The US House Select Committee investigating the January 6th Capitol riot must conduct a sweeping investigation of all the ways former President Donald Trump interfered with the election,"" @NormEisen writes for @CNNOpinion.",retweet,How Hitler seized power in Nazi Germany: 1. Create a crisis. 2. Demonize opponents. 3. Declare a state of emergency. 4. Undermine elections. 5. Make the rule of law irrelevant. 6. Rule by executive order. If America falls it will be bc of the people who sat on their hands. 02,retweet,"When you see Trump grinning with NYPD &amp; NYFD remember, by not paying his taxes, even applying for STARR deductions in NYC. He didn’t help pay for a single new helmet post 9/11. He is a man who has only taken from the city, never given. I wish the folks he uses would see that.",retweet,"I’m a Democrat running for U.S. Senate in Utah to #UnseatMikeLee. I have 53,300 followers. Can we hit 65k followers? Yes Yes Yes 👇 👇 👇",retweet,"There's a really easy way to pay for all the programs in Joe Biden's infrastructure plans. TAX THE RICH. TAX THE RICH. TAX THE RICH. The ultra wealthy are hoarding resources. They're not job creators-they are dogs in the manger, working to keep wages low. #FTPA",retweet,Photos of some of the protesters who were murdered by cops. A few of them are under 18. We are fighting a state that kills children. Doesn't it familiar with what Israeli fascist state do against Palestinians? Shame on you if you get angry of Israeli state but not Iran state.,retweet,"There are many ways to get involved in supporting bat conservation, from building a bat box, joining your local bat group or raising funds for bat conservation, take a look at our website to explore some ideas",retweet,Boris Johnson: UK Government and MOD Help Nowzad rescue get the workers and animals out of Afghanistan now! - Sign the Petition! via,retweet,0,,,,,,,,,,
shespeaksup,New Hampshire state lawmakers voted against a bill crafted by fourth graders to make the New Hampshire State...,tweet,BREAKING: We did it! The Senate just voted to protect #NetNeutrality. But our work isn't over. It's time to take the vote to the House.,retweet,BIC has donated 2.5 Million writing instruments to schools in need during the company's 2022 Global Education Week. Help them reach their goal of 3M donations by liking or re-sharing their social post! #BICCauseWeCare #bicpartner,tweet,Just saw Liliac is one of the bands videos submitted for Jovi tour They are awesome!!! Wish we could vote,reply,"I just earned 40 Swag Bucks for completing the Survey on the Economy, Personality, and Attitudes task on...",tweet,President Obama suggested that it is time to make voting mandatory. Do you think that voting should be mandatory?,tweet,Project # 2 - Social Issues for the Mad Men DVD/Blu-ray Contest has arrived!,retweet,I just took action &amp; told my members of Congress to #LiftTheBan on U.S. crude oil exports! Join me:,tweet,"Strap on your fanny packs, your fave 90s drink is turning 30! 🥳 Post a pic of you from the 90s using #ShowUsYour90s + #PepsiSweepstakes for a chance to be 1 of 300 to win Crystal Pepsi. No Purch. Nec. Ends 1/6/22, 9am. 50 US/DC res only, 18+ (19+ in AL/NE). Not Avail. Retail",retweet,69% of U.S. parents believe their kids need a college degree or more to achieve the American Dream. Agree or...,tweet,0,,,,,,,,,,
shwood,the irony of anti maskers is so... poignant? 'masked' by trumps 'distrust' of masks; intelligence tested &amp; failed on multiple levels; tracked via bluetooth/wifi through facebook/most apps whether you have a profile or not; poisoned with hate in your damn hearts. ugh,quote,"Belarus is protesting over a rigged election, LGBTQ+ people are fighting for rights in Poland, HK is fighting for democracy, &amp; we in the US are dealing a whole slew of things &amp; you want me to care about two mega corps fighting for a cut of your v-bucks? Fuck off.",retweet,"well, if covid &amp; lamewarts legacy has taught me anything about this decade, its that this will be the era when convince &amp; entertainment are proven to truly trump everything else. and god damn, what a bummer.",tweet,does voting mean ill keep getting a shit ton of physical crap mail & annoying phone calls every election season?,tweet,To all our American followers… happy 23rd anniversary of the #Dreamcast’s launch in North America!,retweet,thats putting it politely. the amount of issues that have entirely null &amp; voided that purchase is legitimately insane. they should actually be mouth against base while cupping your balls at this point. jesus fuck.,reply,"hahaha, I don't know how ive gone so long without seeing that. God has plenty of accidents. Just talk to a republican. Zing!",reply,"So many reasons to feel hopeful again; it’s a real nice change of pace. Self doubt &amp; big sad will always get in the way, but it’s a real relief to know that that’s what it is; self doubt &amp; big sad. Not reality. Most’ve the time at least 🙃😀🥰",tweet,bullshit. your eleven year old sister would blame obama.,reply,this is the second time I've ever voted &amp; still no fucking sticker. God dammit.,tweet,0,,,,,,,,,,
sirottae02,"We can't contain the excitement for 's first full-color images! On Monday, July 11 at 5pm ET (21:00 UTC), President Biden will unveil one of the space telescope's first images of deep space as a preview of what's ahead:",retweet,"Not feeling well today. _(:3」∠)_ Oil change tomorrow (already sent off my vote, so no worries about that. ha.). Was going to get takeaway, but realized they're closed. Then more driving &amp; doing as the week goes on. &amp;... maybe grocery pick up? Not sure.",tweet,"As we hurtle towards the end of Early 2022, a quick Playdate update: Group One's batch of brand new shiny Playdates are on their way to our fulfillment center in California as we speak!! They'll still need to be processed (and gradually shipped) but… it's almost time!",retweet,"While we didn’t vend at MFF, our team WAS there to have some fun. Current status is: crying in our hotel room after seeing.. SO much of what we do, proudly displayed on your beautiful figures. Walking the halls and seeing every 7th person wearing us is just.. it’s overwhelming.",retweet,"Oh man, this slow cooker mac &amp; cheese &amp; meat is just ~too cheesy~ &amp; bland. (but, a lot of them are.) Have to mess with this if I want to do it again, I guess. :d But, it's also pretty easy to just make a roux to white sauce &amp; put cheese in it either. ha.",tweet,"Hello, all! We were able to move the database successfully and everything should be running along smoothly now! There was a period of time where the site was up but the databases were still in a state of crossover, so there were some hiccups with quests and items at the time. 1/n",retweet,Did get the PS5 hooked up &amp; may try playing something in a bit. Happy to have it &amp; happy it worked &amp; wasn't a box of wood. (should probably gulp down some anti-nausea pills. ha.),reply,"Really, I don't know if there are other ending to get, but the way the game mechanics work, I could at least have a different path to the end, I think. And I could bring other people along too? hm. Maybe I'll try choosing all of the idiot responses? Or be more cocky? haha.",reply,"Also groceries. Should have went day 1 but look at the deals! Cheap beyond &amp; a $1 pizza (with part of a bag of $2 Miyoko's). Should have let it melt a bit more, but I was hungry. Not bad, even though I had to cook it in foil (as I didn't want the possibility of cleaning an oven)",reply,GODZILLA WAS A JURASSIC CREATURE THAT EVOLVED FROM A SEA REPTILE INTO A TERRESTRIAL MONSTER AWAKENED BY MANKIND'S NUCLEAR WEAPONS TESTS. OVER TIME GODZILLA ITSELF HAS EVOLVED AND ITS FELLOW KAIJU MONSTERS HAVE COME TO EMBODY THE EMOTIONS AND SOCIAL PROBLEMS OF OUR TIMES!,retweet,0,,,,,,,,,,
sixtwentyfive_,"The GOP blamed Obama when 4 Americans died in Benghazi They were outraged about a death toll of 4. The pandemic death toll? 108,000. The GOP response? Endless praise for Trump. Craven assholes. #NoJusticeNoPeace Weather Underground Glenn Beck ATTACK AND DETHRONE GOD Lady G",retweet,"@thebradfordfile @realDonaldTrump if it was voting fraud, as claimed, why didn't democrats win more local and state seats? republicans still won most of those. so that claim isn't even logical.",reply,"I'm a moderate, [slightly leaning liberal], but not a Democrat. I don't personally think trump is the cause of racism; that's part of many individuals culture, and has been so for a very long time, even if the individual doesn't realize it",reply,"yesterday Congress Republicans issued a war against women. Is there a way to know who asked to overturn wade vs rowe, for ease in voting them out next term?",reply,@thebradfordfile @realDonaldTrump why would Biden need to cheat? I can't imagine it being possible for more than 15-20% of the US population to vote for trump. We've already seen him fail at everything for four years.,reply,"it's frustrating because I, too, would rather vote green. I don't like the idea that my vote is more necessary to take away from opposition, than it is to empower a party that I'm more aligned with. I don't like biden, but I have more dislike for trump",tweet,"yea, well, you were a kid when all this occurred. perhaps if people your age started getting into some understanding of politics and voted in every election instead of just presidential ones, you might one day make it better. until then, that zone is a piece of shit.",reply,"people are shamed socially when they talk about voting for a third party, yet the shamers themselves probably can't define what their party definitions are. wouldn't be at all surprised if more than half of them supported a party that had nothing to do with them",reply,"@realDonaldTrump if people regularly voted every single time they had a local or state election, their votes would have greater impact, instead of only voting during presidential elections. but if the mainline media outlets like the local news (which people with netflix don't watch anyway..)",reply,"in the 2016 election I voted green (and usually do so in local, too) mostly to give a bit more push towards the green party, even though I know they aren't likely to win. I've been yelled at about how a vote for neither main party is a vote for the one that ends up winning",reply,0,,,,,,,,,,
slcmcguire,"This is hideous. Stop declaring that 29 million people in an incredibly gerrymandered state deserve to die because they have a terrible governor. Do you think you deserved to die under Trump? If not, maybe stop saying this ghoulish shit.",retweet,I want to believe that we as a people are better than what the outcome of this election has shown. The worst of us is not all of us.,tweet,Real talk: If you still support Trump through COVID and everything else in the last four years? Dont be surprised when folks actively think less of you.,retweet,"People in ""blue"" states who believe that aid should be withheld from ""red"" states after tragedies and that the people there deserve it are bad people who should feel ashamed. There are people of all political spectrums in all states, and everyone deserves rights, including life.",retweet,Conservative talk radio is the cost of a free ride to campus.,tweet,"No one who is alive today should ever say again that ""my/one vote doesn't matter."" We've literally seen shifts from one column to another, just a few hundred at a time. The reason why everyone has been glued to their news source for 72 hours is that every single vote matters.",retweet,"A death warrant for Texans. Add them to the 44,000+ killed as he failed to confront the pandemic &amp; botched the vaccine rollout. And those who froze to death because he cares more about energy companies’ profits than keeping Texans alive. Abbott is killing the people of Texas.",retweet,"—“Misled"" on our state’s deadliest school shooting —""Misled"" on the power grid failure that left hundreds to freeze to death —""Misled"" on a foster care crisis where kids have died and been trafficked in state care Abbott’s not leading. He’s misleading Texas.",retweet,"I'll let Twitter decide: Should I custom build Air Jordan 1s for RT for Yes Like for No Quote tweet for additional, and non-sarcastic commentary. ...annnnnd go. I'll tally the votes and make a decision at the start of tonight.",retweet,"Rough times in the wresting world. Fans - if you want to help these people, BUY THEIR MERCH. Sell out the shows or buy the streams/OnDemands. Take photo/video where you’re allowed and give them content for socials. There’s life beyond major companies. If you like them, HELP THEM!",retweet,0,,,,,,,,,,
solavei,"President Trump, We want to hear YOUR #WalkAway story! Will you share your #WA video w/ 🇺🇸? Let’s all make a video &amp;/or share a tweet w/ POTUS telling him we want to hear his #WalkAway!! Use the hashtags below⬇️ #TrumpsWalkAway #WalkAway &amp; tag: @realDonaldTrump",retweet,Very proud of the U.S. Senate for voting “YES” to advance the nomination of Judge Brett Kavanaugh!,retweet,BREAKING: THIS VIDEO DESTROYS HILLARY'S 'RACIST' ATTACKS AGAINST TRUMP -... via @YouTube,tweet,This video will get Donald Trump elected if it goes viral! AMAZING! via @YouTube,tweet,"HIDDEN CAM: NYC Democratic Election Commissioner, ""They Bus People Aroun... via @YouTube",tweet,"Election after election... nothing has changed, and the people are incredibly frustrated.",retweet,"If you want to understand what the Left is doing right now, read Saul Alinsky’s Rules For Radicals. What we are seeing right now is Rule #13 in action: “Pick the target, freeze it, personalize it, and polarize it.” The Left doesn't care about women, they care about winning",retweet,Former Trump Employee: Trump Is Not Racist via @YouTube,tweet,WATCH: Black Female Trump Executive Speaks About 'The Trump Family That I Know' via @seanhannity,tweet,UPDATE: just confirmed. Chatham County is done counting votes for the night. The board of elections annex building is empty. Workers say they’ll be back at 8 a.m. Still thousands of votes to be counted here.,retweet,0,,,,,,,,,,
sparklesugglets,researching mars' significance in astrology/writing a patreon post about this. getting a reading on whether or not you should go back to school (political science may be significant). someone asking you if you signed their guestbook. gemology. finding the emerald ring you lost in,reply,"what fire signs need to know right now • yes, take the google analytics or seo course. the certification will help you land the social media marketing job. • no, the pisces placement isn't talking behind your back. they haven't been in that group chat since november.",retweet,"what fire signs need to know right now • yes, take the google analytics or seo course. the certification will help you land the social media marketing job. • no, the pisces placement isn't talking behind your back. they haven't been in that group chat since november.",tweet,"november predictions for fire signs • successfully manifesting commitment from the aquarius/sag placement (they have both in their big four) -- this feels like a current talking stage • feeling more liberated, no longer worrying about the future of your finances and career",retweet,"november predictions for fire signs • successfully manifesting commitment from the aquarius/sag placement (they have both in their big four) -- this feels like a current talking stage • feeling more liberated, no longer worrying about the future of your finances and career",tweet,"wednesday -- ""care to plan a second date?"" keeps coming through. work is a significant factor/block, especially if this person is a nurse (although healthcare in general feels significant) • no, you aren't being delusional -- the worst is over and it's safe to invest in what",reply,"whittle down your social circle • prioritizing yourself/your happiness, staying in more • learning more about crystals and crystal grids -- gift yourself that shopping spree if you've been thinking about it • someone needs to research/will be researching merkabas/spiritual",reply,Like the abundance of people charging $5 readings has now deeply affected the long term readers who charge what they're actually worth because now people think tarot readings above £30 are expensive... so many people offering readings and they're not legit readers,retweet,channeled messages for earth signs • hold off on buying that car -- you'll find something you actually like in mid november • ask yourself if change is enough of a reason to stay. your feelings for the scorpio placement are valid but your guides want to acknowledge,retweet,channeled messages for earth signs • hold off on buying that car -- you'll find something you actually like in mid november • ask yourself if change is enough of a reason to stay. your feelings for the scorpio placement are valid but your guides want to acknowledge,tweet,0,,,,,,,,,,
spclifton,Obama didn’t spy on Trump Russia was not a hoax Trump didn’t win the 2020 election Rittenhouse is a murderer Biden isn’t the reason gas prices or inflation are high Trump tried to extort Ukraine and overthrow the U.S. government and Republicans assisted him both times,retweet,"If Trump had succeeded last year, his vice president would have refused to count election results while his supporters physically overpowered Congress from doing anything. But yeah, it’s Biden who wants a “one-party state.”",retweet,Mike Pence is not a hero. Mike Pence tried to do everything possible to prevent Joe Biden's lawful election. Mike Pence called former VP Dan Quayle to ask HOW to do what Trump wanted. Quayle told him all he could was follow the law. And that's what he did. Not a hero.,retweet,"@CNN right now entire segment about Difficulty of Democrats to hold the Senate , not one word about the Republicans ability to win the Senate . While we watched the 1/6 Attack and the majority of GOP supporting the Big Lie . Yo @CNN sound like a #Fox propaganda hit .@MSNBC",retweet,Ginni Thomas in 2018 complaining about liberals forming a “Resistance” against Trump: “Are we losing the civility of legitimate elections - a duly elected president being able to govern?”,retweet,The Dominion Voting System $1.6 billion lawsuit isa revealing that Fox News hosts KNEW Trump's election claims were false yet they kept lying on air. This lawsuit needs to bankrupt Fox News and eradicate them permanently. Just like Alex Jones being bankrupted for his vile lies.,retweet,"“Instead of bowing to election-year pressures or the anti-immigrant tactics of the right, Democrats must support President Biden’s commitment to end Title 42 restrictions immediately and without delay.” My Op-Ed on Title 42 this morning in",retweet,"I don’t believe pundits and media, in general, mention enough how 147 GOP members of Congress voted against certifying the 2020 election for President Biden. Perhaps more focus should be placed upon it.",retweet,Mitch McConnell does not want you to retweet the new ad from Democrat Mike Franken who is running against Chuck Grassley for US Senate. If they lose in Iowa they are in a world of hurt and Mitch will never be in charge of the Senate again.,retweet,"News: A GOP county official in Georgia, who served as a fake elector, escorted 2 operatives working wi/ Trump lawyer Sidney Powell into the county's election offices on same day voting system there was breached, per newly obtained video. Story w/",retweet,0,,,,,,,,,,
